iter	Passed	Remaining
0	181	181066
1	192	96201
2	203	67762
3	212	52887
4	221	44079
5	231	38363
6	239	33947
7	249	30896
8	256	28278
9	266	26393
10	274	24675
11	283	23374
12	291	22160
13	300	21186
14	308	20289
15	317	19548
16	325	18839
17	334	18244
18	342	17701
19	351	17204
20	359	16757
21	367	16344
22	377	16023
23	385	15659
24	395	15427
25	405	15205
26	418	15065
27	428	14869
28	436	14609
29	445	14415
30	464	14518
31	477	14452
32	488	14319
33	499	14179
34	511	14103
35	523	14017
36	532	13850
37	544	13772
38	562	13854
39	584	14016
40	600	14046
41	612	13962
42	629	14009
43	648	14085
44	664	14111
45	688	14274
46	708	14357
47	723	14350
48	738	14327
49	750	14259
50	764	14224
51	781	14241
52	800	14298
53	824	14441
54	844	14511
55	869	14655
56	896	14833
57	911	14811
58	930	14843
59	963	15100
60	979	15078
61	999	15126
62	1011	15046
63	1032	15100
64	1065	15326
65	1080	15291
66	1107	15426
67	1137	15584
68	1156	15604
69	1194	15865
70	1210	15833
71	1232	15890
72	1255	15943
73	1275	15957
74	1294	15970
75	1307	15901
76	1325	15886
77	1353	16004
78	1374	16021
79	1390	15989
80	1414	16054
81	1439	16118
82	1469	16231
83	1486	16209
84	1505	16205
85	1521	16172
86	1536	16124
87	1550	16064
88	1561	15986
89	1573	15905
90	1587	15858
91	1609	15881
92	1620	15802
93	1636	15771
94	1648	15700
95	1662	15652
96	1672	15572
97	1683	15492
98	1696	15440
99	1706	15355
100	1715	15265
101	1726	15202
102	1734	15109
103	1751	15088
104	1762	15025
105	1777	14989
106	1792	14959
107	1802	14883
108	1814	14830
109	1826	14780
110	1836	14706
111	1844	14627
112	1855	14567
113	1863	14485
114	1874	14427
115	1892	14423
116	1913	14437
117	1925	14390
118	1936	14335
119	1944	14257
120	1953	14192
121	1961	14116
122	1970	14050
123	1978	13975
124	1987	13911
125	1995	13844
126	2006	13790
127	2017	13741
128	2025	13678
129	2038	13640
130	2048	13589
131	2060	13548
132	2074	13521
133	2090	13508
134	2109	13519
135	2138	13586
136	2157	13589
137	2188	13669
138	2221	13759
139	2241	13769
140	2259	13762
141	2276	13755
142	2290	13729
143	2307	13717
144	2325	13710
145	2353	13764
146	2373	13770
147	2391	13765
148	2407	13751
149	2424	13739
150	2442	13730
151	2456	13704
152	2469	13672
153	2484	13648
154	2500	13631
155	2509	13575
156	2518	13521
157	2529	13478
158	2541	13443
159	2562	13453
160	2573	13411
161	2584	13368
162	2599	13347
163	2617	13341
164	2647	13396
165	2669	13410
166	2686	13401
167	2709	13417
168	2726	13405
169	2743	13393
170	2787	13514
171	2844	13694
172	2882	13777
173	2902	13779
174	2948	13898
175	2966	13889
176	2981	13861
177	2994	13829
178	3009	13803
179	3026	13787
180	3036	13738
181	3046	13693
182	3061	13668
183	3074	13633
184	3082	13581
185	3094	13541
186	3105	13500
187	3115	13456
188	3124	13408
189	3133	13360
190	3144	13317
191	3155	13278
192	3163	13227
193	3173	13185
194	3182	13136
195	3193	13098
196	3203	13058
197	3211	13009
198	3220	12964
199	3229	12916
200	3241	12886
201	3251	12846
202	3260	12800
203	3269	12758
204	3277	12711
205	3286	12669
206	3294	12622
207	3304	12580
208	3312	12536
209	3321	12494
210	3331	12456
211	3339	12412
212	3349	12375
213	3358	12334
214	3368	12298
215	3376	12255
216	3385	12214
217	3393	12171
218	3403	12136
219	3413	12101
220	3421	12060
221	3430	12023
222	3438	11982
223	3448	11947
224	3456	11906
225	3465	11869
226	3473	11829
227	3482	11791
228	3494	11766
229	3505	11734
230	3516	11705
231	3524	11666
232	3533	11633
233	3543	11598
234	3551	11561
235	3562	11533
236	3572	11500
237	3584	11475
238	3595	11447
239	3603	11411
240	3612	11378
241	3620	11341
242	3631	11312
243	3639	11277
244	3648	11243
245	3659	11215
246	3668	11183
247	3677	11152
248	3685	11115
249	3696	11089
250	3708	11065
251	3716	11031
252	3726	11001
253	3733	10966
254	3743	10936
255	3751	10902
256	3760	10871
257	3768	10838
258	3778	10809
259	3786	10775
260	3795	10746
261	3805	10719
262	3814	10688
263	3825	10663
264	3834	10634
265	3844	10609
266	3856	10585
267	3864	10554
268	3874	10527
269	3883	10500
270	3895	10478
271	3906	10454
272	3914	10425
273	3923	10396
274	3931	10365
275	3940	10337
276	3948	10306
277	3957	10278
278	3965	10249
279	3974	10219
280	3982	10189
281	3990	10161
282	3999	10132
283	4008	10104
284	4017	10077
285	4024	10048
286	4034	10022
287	4041	9992
288	4051	9967
289	4059	9938
290	4068	9913
291	4076	9884
292	4085	9858
293	4093	9829
294	4102	9803
295	4110	9775
296	4121	9756
297	4131	9731
298	4138	9703
299	4148	9679
300	4156	9652
301	4166	9629
302	4174	9602
303	4183	9578
304	4191	9552
305	4200	9526
306	4208	9499
307	4217	9475
308	4225	9448
309	4234	9424
310	4242	9398
311	4251	9374
312	4259	9348
313	4268	9324
314	4277	9300
315	4285	9275
316	4294	9253
317	4302	9227
318	4312	9205
319	4320	9180
320	4329	9158
321	4337	9133
322	4346	9110
323	4354	9085
324	4363	9062
325	4371	9037
326	4379	9014
327	4387	8989
328	4397	8968
329	4405	8943
330	4414	8921
331	4422	8897
332	4430	8875
333	4439	8852
334	4448	8829
335	4457	8808
336	4465	8785
337	4475	8765
338	4483	8742
339	4492	8721
340	4500	8698
341	4510	8677
342	4518	8654
343	4529	8638
344	4539	8617
345	4546	8594
346	4556	8574
347	4564	8551
348	4573	8531
349	4581	8508
350	4591	8489
351	4599	8466
352	4608	8446
353	4616	8424
354	4625	8404
355	4633	8382
356	4642	8362
357	4650	8340
358	4659	8320
359	4668	8299
360	4677	8279
361	4690	8267
362	4703	8252
363	4715	8238
364	4726	8222
365	4741	8213
366	4755	8202
367	4766	8186
368	4777	8168
369	4793	8161
370	4806	8148
371	4814	8127
372	4824	8109
373	4836	8095
374	4844	8074
375	4854	8056
376	4862	8035
377	4871	8015
378	4879	7995
379	4888	7976
380	4897	7956
381	4905	7936
382	4915	7918
383	4926	7903
384	4936	7886
385	4944	7865
386	4954	7847
387	4964	7830
388	4972	7809
389	4983	7793
390	4991	7773
391	5000	7755
392	5008	7735
393	5018	7719
394	5026	7699
395	5036	7682
396	5046	7665
397	5054	7645
398	5064	7628
399	5072	7608
400	5083	7593
401	5090	7573
402	5100	7555
403	5107	7535
404	5116	7517
405	5124	7497
406	5133	7478
407	5141	7459
408	5150	7441
409	5158	7423
410	5166	7403
411	5175	7386
412	5183	7367
413	5192	7350
414	5200	7331
415	5210	7314
416	5217	7295
417	5227	7278
418	5235	7259
419	5244	7242
420	5252	7224
421	5262	7207
422	5269	7188
423	5278	7170
424	5286	7151
425	5295	7134
426	5303	7116
427	5311	7099
428	5319	7080
429	5328	7063
430	5337	7045
431	5348	7031
432	5357	7015
433	5365	6997
434	5375	6981
435	5383	6963
436	5392	6946
437	5400	6929
438	5409	6912
439	5417	6895
440	5427	6879
441	5436	6863
442	5444	6846
443	5454	6830
444	5462	6812
445	5472	6798
446	5481	6781
447	5490	6765
448	5498	6747
449	5507	6731
450	5516	6714
451	5526	6700
452	5539	6688
453	5549	6673
454	5560	6660
455	5574	6650
456	5590	6642
457	5605	6633
458	5624	6629
459	5641	6622
460	5652	6608
461	5661	6592
462	5669	6576
463	5686	6568
464	5709	6568
465	5734	6570
466	5745	6557
467	5762	6550
468	5777	6541
469	5793	6533
470	5808	6524
471	5825	6516
472	5840	6507
473	5855	6497
474	5865	6483
475	5874	6466
476	5884	6452
477	5893	6435
478	5902	6419
479	5910	6403
480	5919	6387
481	5927	6370
482	5936	6353
483	5944	6338
484	5953	6321
485	5963	6306
486	5971	6290
487	5982	6276
488	5991	6261
489	6001	6246
490	6011	6231
491	6020	6215
492	6030	6201
493	6038	6185
494	6049	6171
495	6057	6155
496	6067	6141
497	6078	6127
498	6091	6116
499	6112	6112
500	6125	6101
501	6141	6092
502	6167	6093
503	6184	6086
504	6198	6076
505	6214	6066
506	6234	6062
507	6253	6056
508	6267	6046
509	6284	6037
510	6298	6027
511	6318	6021
512	6334	6013
513	6346	6000
514	6364	5993
515	6380	5984
516	6397	5976
517	6412	5967
518	6433	5962
519	6449	5953
520	6468	5947
521	6481	5935
522	6499	5928
523	6515	5918
524	6531	5909
525	6546	5898
526	6564	5892
527	6577	5879
528	6589	5867
529	6607	5859
530	6624	5851
531	6636	5838
532	6649	5825
533	6662	5813
534	6679	5805
535	6697	5797
536	6713	5787
537	6727	5777
538	6745	5769
539	6759	5757
540	6773	5747
541	6789	5737
542	6806	5728
543	6823	5719
544	6839	5709
545	6855	5700
546	6873	5692
547	6889	5682
548	6904	5672
549	6921	5663
550	6939	5655
551	6956	5645
552	6974	5637
553	6993	5630
554	7007	5618
555	7022	5607
556	7038	5598
557	7055	5588
558	7072	5579
559	7087	5569
560	7103	5558
561	7117	5547
562	7130	5535
563	7141	5520
564	7153	5507
565	7167	5496
566	7180	5483
567	7189	5468
568	7203	5456
569	7216	5444
570	7233	5434
571	7247	5423
572	7261	5411
573	7271	5396
574	7282	5382
575	7293	5368
576	7302	5353
577	7314	5340
578	7324	5325
579	7333	5310
580	7344	5296
581	7352	5280
582	7363	5267
583	7375	5253
584	7384	5238
585	7394	5224
586	7403	5208
587	7413	5194
588	7424	5180
589	7433	5165
590	7444	5151
591	7453	5136
592	7463	5122
593	7474	5108
594	7483	5093
595	7494	5079
596	7503	5065
597	7512	5050
598	7524	5036
599	7532	5021
600	7544	5008
601	7555	4995
602	7564	4979
603	7575	4966
604	7585	4952
605	7594	4937
606	7606	4924
607	7614	4909
608	7625	4896
609	7637	4882
610	7645	4867
611	7655	4853
612	7663	4838
613	7672	4823
614	7681	4808
615	7690	4794
616	7701	4780
617	7712	4766
618	7724	4754
619	7740	4744
620	7753	4731
621	7763	4717
622	7775	4704
623	7787	4692
624	7796	4677
625	7806	4664
626	7818	4651
627	7827	4636
628	7838	4623
629	7850	4610
630	7859	4596
631	7871	4583
632	7882	4570
633	7891	4555
634	7902	4542
635	7910	4527
636	7920	4513
637	7930	4499
638	7939	4485
639	7949	4471
640	7957	4456
641	7966	4442
642	7975	4427
643	7986	4414
644	7996	4401
645	8004	4386
646	8013	4372
647	8022	4357
648	8031	4343
649	8040	4329
650	8049	4315
651	8057	4300
652	8067	4286
653	8076	4272
654	8084	4258
655	8094	4244
656	8104	4230
657	8117	4219
658	8130	4207
659	8139	4193
660	8151	4180
661	8163	4168
662	8173	4154
663	8182	4140
664	8191	4126
665	8199	4112
666	8209	4098
667	8217	4084
668	8226	4070
669	8235	4056
670	8244	4042
671	8252	4028
672	8261	4014
673	8270	4000
674	8278	3986
675	8287	3971
676	8298	3959
677	8310	3946
678	8324	3935
679	8342	3925
680	8361	3916
681	8376	3905
682	8390	3894
683	8403	3882
684	8414	3869
685	8443	3864
686	8454	3851
687	8464	3838
688	8476	3825
689	8488	3813
690	8510	3805
691	8560	3809
692	8583	3802
693	8594	3789
694	8622	3783
695	8630	3769
696	8640	3756
697	8651	3743
698	8662	3730
699	8674	3717
700	8686	3705
701	8695	3691
702	8707	3678
703	8718	3665
704	8727	3651
705	8737	3638
706	8746	3624
707	8757	3611
